subject_id,model_name,roc_auc,f1_seizure,recall_seizure,precision_seizure,accuracy
sub-040,Fused_EEG_ECG,1.0,0.9511111111111111,1.0,0.9222222222222222,0.9916666666666667
sub-044,ECG_Only,0.9849206349206349,0.8200000000000001,0.9333333333333333,0.7666666666666667,0.9148148148148147
sub-044,EEG_Only,0.9849206349206349,0.84,0.9,0.8222222222222223,0.9361111111111111
sub-044,Fused_EEG_ECG,0.9904761904761905,0.8844444444444444,0.9666666666666667,0.8555555555555556,0.9444444444444444
sub-046,ECG_Only,0.9357142857142857,0.7088888888888889,0.8333333333333334,0.6666666666666666,0.8976190476190475
sub-046,EEG_Only,1.0,0.8222222222222223,0.8666666666666667,0.8333333333333334,0.9488095238095239
sub-046,Fused_EEG_ECG,1.0,1.0,1.0,1.0,1.0
sub-050,ECG_Only,0.9428571428571428,0.8111111111111111,1.0,0.7333333333333333,0.9154761904761906
sub-050,EEG_Only,1.0,1.0,1.0,1.0,1.0
sub-050,Fused_EEG_ECG,1.0,0.9333333333333333,1.0,0.9,0.9738095238095238
sub-052,ECG_Only,0.8536075036075036,0.6641358933464196,0.7178571428571429,0.6476286676286677,0.8014778325123153
sub-052,EEG_Only,0.9955215419501133,0.9742508798391152,0.9738095238095238,0.9768518518518519,0.9861247947454843
sub-052,Fused_EEG_ECG,0.9963151927437642,0.9742508798391152,0.9738095238095238,0.9768518518518519,0.9861247947454843
sub-053,ECG_Only,0.81875,0.31111111111111106,0.43333333333333335,0.25,0.8
sub-053,EEG_Only,0.9041666666666667,0.3222222222222222,0.3333333333333333,0.3555555555555555,0.8622222222222222
sub-053,Fused_EEG_ECG,0.8541666666666666,0.31111111111111106,0.3,0.3333333333333333,0.8851851851851852
sub-055,ECG_Only,0.9328483245149911,0.8585569985569986,0.9031746031746032,0.8229365079365079,0.9256666666666666
sub-055,EEG_Only,0.9543209876543209,0.8123711582535111,0.7857142857142858,0.8638095238095238,0.9093333333333333
sub-055,Fused_EEG_ECG,0.9639329805996473,0.8725452325452326,0.9031746031746032,0.8507142857142858,0.9338888888888889
sub-056,ECG_Only,0.8186862565044384,0.7095034205560521,0.7109090909090909,0.7254228179228179,0.8879437229437229
sub-056,EEG_Only,0.9743979185797368,0.9115629653844757,0.9006060606060606,0.9295117845117845,0.9674675324675325
sub-056,Fused_EEG_ECG,0.9695365779002143,0.9012448556613316,0.8878787878787879,0.9237542087542088,0.9638744588744589
sub-060,ECG_Only,0.8967898193760263,0.7190197242371156,0.7684848484848484,0.6893868168868169,0.8401282051282052
sub-060,EEG_Only,0.957653381101657,0.926415027467659,0.8878787878787879,0.9738047138047139,0.9626495726495726
sub-060,Fused_EEG_ECG,0.9830482161516644,0.929351155666945,0.8878787878787879,0.9791245791245792,0.9644017094017094
sub-064,ECG_Only,0.9566666666666667,0.49777777777777776,0.5666666666666667,0.5,0.9176046176046175
sub-064,EEG_Only,0.985,0.82,0.9,0.8333333333333334,0.9691197691197692
sub-064,Fused_EEG_ECG,0.9866666666666667,0.8311111111111111,0.8,0.9444444444444444,0.9756132756132756
sub-066,ECG_Only,0.6955337690631808,0.07904761904761905,0.06111111111111111,0.12222222222222222,0.922783389450056
sub-066,EEG_Only,0.8369364839953075,0.3222222222222222,0.23888888888888887,0.5333333333333333,0.9546801346801347
sub-066,Fused_EEG_ECG,0.8319842466901289,0.12000000000000001,0.08888888888888888,0.2,0.9461279461279462
sub-068,ECG_Only,0.8946881091617933,0.7044444444444444,0.9,0.6333333333333333,0.9461403508771931
sub-068,EEG_Only,1.0,0.9777777777777777,0.9666666666666667,1.0,0.9966666666666666
sub-068,Fused_EEG_ECG,1.0,0.9333333333333333,0.9,1.0,0.99
sub-070,ECG_Only,0.7939487179487179,0.4244444444444444,0.5666666666666667,0.36666666666666664,0.928395061728395
sub-070,EEG_Only,0.9626666666666667,0.7162962962962962,0.9,0.6912698412698413,0.9530864197530864
sub-070,Fused_EEG_ECG,0.9613333333333334,0.7585185185185186,0.9,0.7412698412698412,0.9629629629629629
sub-071,ECG_Only,0.6723660202272964,0.0643140637897671,0.07619047619047618,0.056887464387464386,0.8931506849315068
